INFO:query:Started find_code_melli
INFO:query:code_melli: 4114832925, Balance: 735665090
INFO:query:code_melli: 5808852190, Balance: 802083843
INFO:query:code_melli: 6412559390, Balance: 435032252
INFO:query:code_melli: 1177176075, Balance: 173803026
INFO:query:code_melli: 1485269894, Balance: 903498279
INFO:query:code_melli: 8578839167, Balance: 441356630
INFO:query:code_melli: 4595853219, Balance: 855326856
INFO:query:code_melli: 8154645648, Balance: 652483731
INFO:query:code_melli: 4999287946, Balance: 917863283
INFO:query:code_melli: 8591717905, Balance: 8235228
INFO:query:code_melli: 5713569980, Balance: 390415191
INFO:query:code_melli: 9311368861, Balance: 190376864
INFO:query:code_melli: 6705489562, Balance: 944182094
INFO:query:code_melli: 0407771616, Balance: 644884909
INFO:query:code_melli: 3240338521, Balance: 632703333
INFO:query:code_melli: 8008833576, Balance: 764524725
INFO:query:code_melli: 5253227930, Balance: 479307671
INFO:query:code_melli: 0992786779, Balance: 487221428
INFO:query:code_melli: 3507330242, Balance: 721136457
INFO:query:code_melli: 6636988259, Balance: 857536163
INFO:query:code_melli: 9020662695, Balance: 36970975
INFO:query:code_melli: 6824162058, Balance: 193869790
INFO:query:code_melli: 7949990572, Balance: 508403495
INFO:query:code_melli: 4629603168, Balance: 539471331
INFO:query:code_melli: 6176453010, Balance: 288381917
INFO:query:code_melli: 4073223960, Balance: 456637320
INFO:query:code_melli: 3933405668, Balance: 32635229
INFO:query:code_melli: 7195395200, Balance: 65594131
INFO:query:code_melli: 9392778715, Balance: 186519354
INFO:query:code_melli: 7810452979, Balance: 260517033
INFO:query:code_melli: 2073564209, Balance: 298802899
INFO:query:code_melli: 2358986805, Balance: 846172144
INFO:query:code_melli: 9250730116, Balance: 45194022
INFO:query:code_melli: 4273044239, Balance: 359693827
INFO:query:code_melli: 3346917916, Balance: 44481378
INFO:query:code_melli: 1161461474, Balance: 589117197
INFO:query:code_melli: 9774175757, Balance: 948996993
INFO:query:code_melli: 4440835411, Balance: 217212838
INFO:query:code_melli: 5950747583, Balance: 84602660
INFO:query:code_melli: 0148721912, Balance: 81110799
INFO:query:code_melli: 0739872313, Balance: 397284011
INFO:query:code_melli: 5094433265, Balance: 155205441
INFO:query:code_melli: 2261054911, Balance: 877357198
INFO:query:code_melli: 8644175401, Balance: 341077520
INFO:query:code_melli: 2361113106, Balance: 639784593
INFO:query:code_melli: 7960669590, Balance: 590234635
INFO:query:code_melli: 1392202763, Balance: 876797476
INFO:query:code_melli: 4473069756, Balance: 219326743
INFO:query:code_melli: 0068778532, Balance: 713548146
INFO:query:code_melli: 9219682141, Balance: 761140374
INFO:query:code_melli: 8711767157, Balance: 396598415
INFO:query:code_melli: 6137506048, Balance: 503782564
INFO:query:code_melli: 6868345649, Balance: 932974235
INFO:query:code_melli: 6441065761, Balance: 298667501
INFO:query:code_melli: 6017592748, Balance: 677788520
INFO:query:code_melli: 0857988209, Balance: 442135178
INFO:query:code_melli: 4121948442, Balance: 521843484
INFO:query:code_melli: 8620042377, Balance: 185979352
INFO:query:code_melli: 6797448209, Balance: 473841225
INFO:query:code_melli: 6851472879, Balance: 668562509
INFO:query:code_melli: 0556156877, Balance: 506070555
INFO:query:code_melli: 9333879540, Balance: 887959638
INFO:query:code_melli: 8506117353, Balance: 677765214
INFO:query:code_melli: 4529378507, Balance: 42188126
INFO:query:code_melli: 9512068169, Balance: 364195583
INFO:query:code_melli: 9550081652, Balance: 58305084
INFO:query:code_melli: 5921465901, Balance: 210845648
INFO:query:code_melli: 2420731919, Balance: 103287002
INFO:query:code_melli: 1252227440, Balance: 411638313
INFO:query:code_melli: 7914532333, Balance: 595907974
INFO:query:code_melli: 0150530836, Balance: 702691404
INFO:query:code_melli: 7042808263, Balance: 151852629
INFO:query:code_melli: 2114396905, Balance: 219021416
INFO:query:code_melli: 7642324041, Balance: 976203338
INFO:query:code_melli: 8711206393, Balance: 686378992
INFO:query:code_melli: 8037875149, Balance: 381996772
INFO:query:code_melli: 5742089403, Balance: 639528377
INFO:query:code_melli: 3438735477, Balance: 399145932
INFO:query:code_melli: 1663374552, Balance: 289966062
INFO:query:code_melli: 0800504634, Balance: 871304746
INFO:query:code_melli: 9111285217, Balance: 807312023
INFO:query:code_melli: 0346414369, Balance: 972912140
INFO:query:code_melli: 6933732910, Balance: 832913232
INFO:query:code_melli: 7842539894, Balance: 18571450
INFO:query:code_melli: 6102682568, Balance: 49629488
INFO:query:code_melli: 3913362891, Balance: 618247425
INFO:query:code_melli: 4970534810, Balance: 317535316
INFO:query:code_melli: 1896193290, Balance: 390476574
INFO:query:code_melli: 5899304021, Balance: 682834018
INFO:query:code_melli: 9298118638, Balance: 218376749
INFO:query:code_melli: 5564948606, Balance: 108051191
INFO:query:code_melli: 4119517091, Balance: 637768645
INFO:query:code_melli: 6734466108, Balance: 757960316
INFO:query:code_melli: 1319167093, Balance: 125509765
INFO:query:code_melli: 9912306846, Balance: 865860416
INFO:query:code_melli: 0941197687, Balance: 3914115
INFO:query:code_melli: 9536952783, Balance: 639186012
INFO:query:code_melli: 9110243162, Balance: 29691728
INFO:query:code_melli: 6769106991, Balance: 785613421
INFO:query:code_melli: 6441345496, Balance: 486329713
INFO:query:code_melli: 9847069524, Balance: 9152049
INFO:query:code_melli: 3858028715, Balance: 240721821
INFO:query:code_melli: 3516884965, Balance: 210347482
INFO:query:code_melli: 6529744407, Balance: 753092885
INFO:query:code_melli: 1343616699, Balance: 497701000
INFO:query:code_melli: 0444280894, Balance: 220805126
INFO:query:code_melli: 8335343043, Balance: 101862571
INFO:query:code_melli: 6919629728, Balance: 821244491
INFO:query:code_melli: 3121826998, Balance: 110554509
INFO:query:code_melli: 6188672285, Balance: 267931795
